group_id,group_name,num_members,category_id,category_name,organizer_id,group_urlname
339011,Nashville Hiking Meetup,15828,23,Outdoors & Adventure,4353803,nashville-hiking
19728145,Stepping Out Social Dance Meetup,1778,5,Dancing,118484462,steppingoutsocialdance
6335372,Nashville soccer,2866,32,Sports & Recreation,108448302,Nashville-soccer
20040517,Franklin 40+ Out and About,1274,31,Socializing,115037452,Franklin-40-Out-and-About
9452822,615 LOL (Live Out Loud),3213,31,Socializing,14621123,615-LOL-Live-Out-Loud
24440003,Outgoing Introverts of Nashville (20s/30s),721,31,Socializing,105492502,Nashchill
10016242,NashJS,1976,34,Tech,8111102,nashjs
11077852,Sunday Assembly Nashville,918,28,Religion & Beliefs,4765912,Sunday-Assembly-Nashville
21174496,20's & 30's Women looking for girlfriends,2763,31,Socializing,184580248,new-friends-in-Nashville
1763190,Nashville Tennis Meetup,1562,32,Sports & Recreation,9890725,Nashville-Tennis-Meetup
19115644,Sex Positive Nashville,719,14,Health & Wellbeing,8998727,sexposnashville
11625832,PyNash,1437,34,Tech,215201845,PyNash
22197221,Team Green Adventures,1802,23,Outdoors & Adventure,199336381,TeamGreenAdventures
18243826,Middle TN 40+ singles,2575,30,Singles,198309808,MTN-40
526316,¡Diablos Que Bailan! (Salsa Nashville),3467,5,Dancing,12229328,diablos-que-bailan
1585196,Tennessee Hiking Group,4822,23,Outdoors & Adventure,13537265,TennesseeHikingGroup
168014,The Nashville Writers Meetup,3286,36,Writing,1281684,nashvillewriters
19218850,Greater Nashville Healthcare Analytics,764,34,Tech,12825115,Greater-Nashville-Healthcare-Analytics
1788274,"Horror, Suspense, Sci-Fi & Fantasy Friends",1333,20,Movies & Film,13677114,horrorfriends
1526075,Nashville Area Gamer Association - NAGA,2723,11,Games,10764011,NAGACentral
1102353,Nashville Backpacker Meetup,3854,23,Outdoors & Adventure,7528310,NashvilleBackpacker
18955830,Eat Love Nash,5006,31,Socializing,13814459,EatLoveNash
23018525,All Things Fabulous: Black Professional Women,604,10,Food & Drink,106819122,All-Things-Fablous-Black-Professional-Women
18495240,Middle Tennessee Hiking Meetup,1573,23,Outdoors & Adventure,183268581,Middle-Tennessee-Hiking-Outdoor-Meetup
25066933,African American Women Socializing,272,2,Career & Business,19658701,aawstn
18589616,Agile Nashville User Group,862,34,Tech,126249582,Agile-Nashville-User-Group
1680888,Tennessee Golf Events,265,32,Sports & Recreation,12559929,Tennessee-Golf-Events
7836842,Nashville UX,1318,34,Tech,21627131,nashville-ux
47094,The Greater Nashville RPG and Board Gamers Group,2373,11,Games,185299351,dnd-49
18297014,Nashville Christian Singles,1681,23,Outdoors & Adventure,183268581,Nashville-Active-Christian-Singles
18562307,Nashville Young Professionals Meetup,3206,2,Career & Business,8736052,Nashville-Young-Professionals-Meetup
18616278,Franklin Developer Lunch & Learn,628,34,Tech,170855672,franklin-developer-lunch
20181560,Tails of the Trail,1237,26,Pets & Animals,365419,Tails-of-the-Trail
16477792,Nashville .NET User Group,1370,34,Tech,16790301,Nashville-NET-User-Group
19277993,Nashville DevOps Meetup,501,34,Tech,183378188,NashDevOps
15297782,Nashville Product Meetup,561,34,Tech,86371752,Nashville-Product-Meetup
16291092,Singles 30-50,2065,30,Singles,51697022,Singles-35-50
4507792,"MOMS Club® of Hendersonville Area, TN",93,25,Parents & Family,23771491,MOMSClubHendersonville
1371991,The Joy of Dining Out with Friends Meetup,2029,10,Food & Drink,13677114,Dining-With-Friends
16062152,Design Thinking Nashville,1028,34,Tech,158936252,DesignThinkingNashville
24803205,Brentwood Happy Hour / Dining Out Meetup,410,21,Music,92479482,Brentwood-Happy-Hour-Dining-Out-Meetup
1187715,What the Pho!,1891,10,Food & Drink,4230486,What-the-Pho
14546632,Nashville Machine Learning Meetup,451,34,Tech,132473852,Nashville-Machine-Learning-Meetup
18579141,Dog Friendly Things to Do Nashville and Beyond,1002,26,Pets & Animals,107456652,Dog-Friendly-Things-To-Do-Nashville-and-Beyond
19266390,Nashville Networking Business Luncheon,1440,2,Career & Business,11759637,Nashville-Networking-Business-Luncheon
211512,Nashville Atheists,1830,28,Religion & Beliefs,8386,atheists-455
968626,The Nashville New & Not-So-New In Town  Meetup,6468,2,Career & Business,12131688,newintown-890
16487812,Code for Nashville,1762,34,Tech,58983922,code-for-nashville
4126912,Nashville Online Entrepreneurs,1526,2,Career & Business,44942272,nashville-online
2542802,Nashville Flag Football,644,32,Sports & Recreation,26285162,NashvilleFlagFootball
3173762,Nashville Java Users' Group,1041,34,Tech,40336202,nashvillejug
19997487,Developer Launchpad Nashville,574,34,Tech,82204922,Developer-Launchpad-Nashville
8771812,The Nashville Microsoft Azure Users Group,650,34,Tech,4353024,The-Nashville-Microsoft-Azure-Users-Group
24351103,Dazzling Dames (50+),48,31,Socializing,95518022,Franklin-Fun-Times-Meetup
1324203,Nashville Psychic Meetup,2358,22,New Age & Spirituality,19801731,Nashville-Psychics
6629622,North Nashville Party Chicks,435,31,Socializing,12258718,North-Nashville-Party-Chicks
3718972,Hanging Out with the Girls,432,31,Socializing,3669527,Hanging-out-with-the-Girls
20807142,Music City Young Professionals,1378,31,Socializing,7377000,MusicCityYP
19030621,"Lesbians in the Workplace, Nashville",566,12,LGBT,7859383,Lesbians-in-the-Workplace-Nashville
24504847,Franklin Friends (50+),32,31,Socializing,11250276,Franklin-Friends-50
6707902,Data Science Nashville,1045,34,Tech,14589429,Data-Science-Nashville
22817838,freeCodeCamp Nashville,431,34,Tech,7534345,freeCodeCamp-Nashville
19556549,Inner Engineering Nashville (Isha Yoga & Meditation Classes),1101,14,Health & Wellbeing,184777575,Isha-Yoga-Inner-Engineering-Nashville-Yoga-Meditation
9376702,Nashville Women Programmers,1089,34,Tech,7918427,NashvilleWomenProgrammers
1360698,Nashville PHP User Group,1117,34,Tech,1813015,nashvillephp
23709488,Bitches Who Brunch: Nashville,78,31,Socializing,223963157,Bitches-Who-Brunch-Nashville
1179719,Nashvegans!,965,13,Movements & Politics,9770948,nashvegans
18314164,NashBI,782,34,Tech,183427754,NashBI
4705492,"WOMEN ""Word of Mouth Entrepreneurial Networkers""",2307,2,Career & Business,26706942,WOMEN-Word-of-Mouth-Entrepreneurial-Networkers
1512578,MOMS Club of Brentwood,60,25,Parents & Family,191362921,MOMS-Club-of-Brentwood-2
5618532,Nashville Salesforce Admins & Developers Group,500,34,Tech,204135137,Nashville-Salesforce-Developer-User-Group
1728035,WordPress Nashville,1642,34,Tech,72560962,NashvilleWordpress
24890978,Nashville Humanist,157,6,Education & Learning,224641660,NashvilleHumanistGroup
18506072,20s in Nashville,3812,31,Socializing,188857906,20s-in-Nashville
1776274,"Nashville SEO & Internet Marketing, Over 1,600 Members!",1648,2,Career & Business,10119159,Nashville-SEO-Group
1808866,"Art, Culture, Film and Literature Friends",2792,1,Arts & Culture,13677114,artsfriends
5282132,One Dharma Nashville Meditation Group,1191,22,New Age & Spirituality,65541132,One-Dharma-Nashville
24693747,Williamson County Republican Party,114,13,Movements & Politics,16881781,Williamson-County-Republican-Party
19440811,Fun Friends Of Rutherford (a 40's+ group),150,31,Socializing,27857332,FunFriends-Of-Rutherford
25481468,Outdoor Afro-Nashville,113,23,Outdoors & Adventure,87574402,Outdoor-Afro-Nashville
18476981,Drink-n-Draw,2507,1,Arts & Culture,40582582,DrinkNDrawNashville
18414590,Women 'n' Wine of Nashville,690,2,Career & Business,187452711,Women-n-Wine-of-Nashville
929402,Paddle Adventures Unlimited,6328,23,Outdoors & Adventure,8939765,paddleadventuresunlimited
