group_id,group_name,member_id
535553,Nash.rb,6144606
1591281,Murfreesboro Web Designers and Developers,6144606
1776274,"Nashville SEO & Internet Marketing, Over 1,600 Members!",6144606
1787157,"GrowNashville: Startup Entrepreneurs, Hackers, & Web Experts",6144606
10016242,NashJS,6144606
11625832,PyNash,6144606
16354782,Meteor Nashville,6144606
16447162,Nash |> Elixir,6144606
17686062,Williamson County Ruby Meetup,6144606
18616278,Franklin Developer Lunch & Learn,6144606
18850080,NashReact,6144606
22806590,'BoroDev Breakfast,6144606
23249388,'BoroDev,6144606
7130232,Nashville Software Beginners,225546676
10016242,NashJS,225546676
10178242,Nashville Mobile Developers,225546676
11625832,PyNash,225546676
16447162,Nash |> Elixir,225546676
16477792,Nashville .NET User Group,225546676
16487812,Code for Nashville,225546676
19194894,Nashville Christian Technologists and Entrepreneurs,225546676
21148651,Nash SQL,225546676
21533726,State & Local Government Developers Network,225546676
21837219,All Things Angular,225546676
23353167,Nashville Docker Meetup,225546676
25076888,Nashville QA,225546676
25482608,Startup Nashville,225546676
339011,Nashville Hiking Meetup,41795222
405938,MTRAS ~ MidTn Robotic Arts Society,41795222
11625832,PyNash,41795222
14546632,Nashville Machine Learning Meetup,41795222
16487812,Code for Nashville,41795222
16607822,Nashville Virtual Reality Meetup,41795222
17467312,NashMicro - The Nashville Microcontroller Makers Group,41795222
18361585,Make Nashville Meetup,41795222
20150865,Hackster Hardware Meetup - Murfreesboro,41795222
6707902,Data Science Nashville,190499461
11625832,PyNash,190499461
8771812,The Nashville Microsoft Azure Users Group,205279429
11625832,PyNash,205279429
13560402,Nashville Modern Excel & Power BI User Group,205279429
968626,The Nashville New & Not-So-New In Town  Meetup,66862502
10178242,Nashville Mobile Developers,66862502
11625832,PyNash,66862502
18286946,Dine and Unwind in East Nashville,66862502
18494105,The Iron Yard - Nashville,66862502
535553,Nash.rb,7768516
1078077,PROVIDENT LIVING & SELF-RELIANCE,7768516
1360698,Nashville PHP User Group,7768516
1433893,NashvilleTech,7768516
1443992,9.12 Project Nashville,7768516
1604824,912 Project Tennessee,7768516
1671273,Skeleton Cru,7768516
1728035,WordPress Nashville,7768516
1776274,"Nashville SEO & Internet Marketing, Over 1,600 Members!",7768516
1787157,"GrowNashville: Startup Entrepreneurs, Hackers, & Web Experts",7768516
3173762,Nashville Java Users' Group,7768516
3376042,Mastermind Business Networkers,7768516
6707902,Data Science Nashville,7768516
7130232,Nashville Software Beginners,7768516
8908602,Nashville Network After Work - Business Networking Events,7768516
10016242,NashJS,7768516
10178242,Nashville Mobile Developers,7768516
10882202,Nashville MongoDB User Group,7768516
11625832,PyNash,7768516
11862932,Nashville Linux Users Group,7768516
14545942,Nashville Computer Science Meetup,7768516
14546632,Nashville Machine Learning Meetup,7768516
15297782,Nashville Product Meetup,7768516
16487812,Code for Nashville,7768516
17872862,Nashville Amazon Web Services User Group,7768516
18243504,Nashville Web Design,7768516
18494105,The Iron Yard - Nashville,7768516
18556157,Serial Tanks Meetup,7768516
18589616,Agile Nashville User Group,7768516
18779992,Nashville API Developers,7768516
19194894,Nashville Christian Technologists and Entrepreneurs,7768516
19277993,Nashville DevOps Meetup,7768516
19885163,Bowling Green Web Developers Meetup,7768516
19904711,NashSec,7768516
19999259,Bowling Green Graphic Designers,7768516
21852539,Nashville Technology Leaders,7768516
21853415,Nashville CTOs,7768516
23353167,Nashville Docker Meetup,7768516
1433893,NashvilleTech,5739275
1671273,Skeleton Cru,5739275
6707902,Data Science Nashville,5739275
10016242,NashJS,5739275
10882202,Nashville MongoDB User Group,5739275
11625832,PyNash,5739275
15297782,Nashville Product Meetup,5739275
17872862,Nashville Amazon Web Services User Group,5739275
18616278,Franklin Developer Lunch & Learn,5739275
19194894,Nashville Christian Technologists and Entrepreneurs,5739275
929402,Paddle Adventures Unlimited,8490124
11625832,PyNash,8490124
