,group1,group2,weight
0,19292162,535553,2
1,19292162,19194894,1
2,19292162,19728145,1
3,19292162,18850080,2
4,19292162,1728035,1
5,19292162,22817838,2
6,19292162,19997487,2
7,19292162,18855476,2
8,19292162,18955830,1
9,19292162,11294262,1
10,19292162,1360698,2
11,19292162,1179719,1
12,19292162,1457232,1
13,19292162,13560402,1
14,19292162,7151442,1
15,19292162,18506072,1
16,19292162,16477792,2
17,19292162,20947040,1
18,19292162,5618532,1
19,19292162,11625832,5
20,19292162,18837102,1
21,19292162,7130232,1
22,19292162,3173762,1
23,19292162,16487812,5
24,19292162,7836842,6
25,19292162,17467312,3
26,19292162,16447162,1
27,19292162,9376702,3
28,19292162,6707902,2
29,19292162,10178242,12
30,19292162,14546632,1
31,19292162,14649032,1
32,19292162,4705492,1
33,19292162,18616278,1
34,19292162,526316,2
35,19292162,10016242,5
36,19292162,19654655,1
37,21182471,1187715,1
38,21182471,25357512,1
39,21182471,19728145,2
40,21182471,7699922,1
41,21182471,20940321,1
42,21182471,18801828,1
43,21182471,1642477,1
44,21182471,18243826,1
45,21182471,18297014,2
46,21182471,1473660,1
47,18288648,21715712,1
48,18288648,18562307,1
49,18288648,541319,1
50,18288648,19728145,2
51,18288648,7836842,2
52,18288648,17467312,1
53,18288648,1697586,1
54,18288648,18955830,1
55,18288648,4063542,1
56,18288648,18767675,1
57,18288648,339011,1
58,18288648,18556100,1
59,18288648,16062152,2
60,18288648,1417288,1
61,18288648,22985677,1
62,18288648,1457232,1
63,18288648,19266390,1
64,18288648,18506072,1
65,18288648,1498076,1
66,18288648,21174496,1
67,18288648,20947040,1
68,18288648,18529135,1
69,18288648,19094001,1
70,18288648,18243826,1
71,18288648,15297782,1
72,18288648,18414590,1
73,20064276,1358081,1
74,20064276,6928642,2
75,20064276,18456837,1
76,20064276,12847372,1
77,20064276,19728145,3
78,20064276,19262745,2
79,20064276,19416348,1
80,20064276,2520612,1
81,20064276,1585196,1
82,20064276,18955830,2
83,20064276,20181560,2
84,20064276,3636792,1
85,20064276,339011,1
86,20064276,1665349,1
87,20064276,19049542,1
88,20064276,1179719,1
89,20064276,1431882,1
90,20064276,24584525,1
91,20064276,1457232,1
92,20064276,5282132,2
93,20064276,1371991,2
94,20064276,21933145,1
95,20064276,20377949,1
96,20064276,20129636,1
97,20064276,19934054,1
98,20064276,24153712,1
99,20064276,24811380,1
100,20064276,929402,2
101,20064276,1473660,2
102,20064276,1187715,2
103,20064276,10426762,1
104,20064276,1492619,3
105,20064276,20068490,1
106,20064276,6230672,3
107,20064276,19713173,1
108,20064276,18801828,1
109,20064276,20186791,1
110,20064276,23723436,1
111,20064276,18589616,1
112,20064276,18297014,2
113,20064276,4126912,1
114,20064276,18953664,1
115,20064276,20384452,1
116,20064276,1751502,1
117,20064276,24675279,1
118,20064276,7699922,1
119,20064276,6284242,2
120,20064276,4705492,1
121,20064276,1576921,1
122,20064276,11077852,3
