event_id,group_id,name,time
243930425,26140018,2017 Nashville Walk to End Alzheimers - October 14th,2017-10-14 12:00:00
244208851,25604533,Steak Dinner on the Patio,2017-10-15 00:15:00
pxlktnywnbfb,25973656,Schedule Meetup,2017-10-03 23:30:00
244444551,18571126,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",2017-10-25 22:30:00
244257722,18571126,"Happy Hour Wednesday, Brentwood, Oct. 18",2017-10-18 22:30:00
243997614,18571126,"Cocktails at the Top, Brentwood ",2017-10-12 23:30:00
243711748,18571126,Happy Hour Wednesday ,2017-09-28 00:00:00
243587675,18571126,Tennessee Craft Fair on Sunday Afternoon 9/24,2017-09-24 18:00:00
243026202,18571126,3rd Weds. Lunch mixer at O'Charleys,2017-09-20 16:30:00
243475377,18571126,Trivia Night at Plantation Pub,2017-09-19 23:00:00
243026119,18571126,1st Tuesday Ladies Lunch at Chili's Bellevue,2017-09-05 16:30:00
242392448,18571126,Ladies Lunch at O'Charley'­s on Thursday,2017-08-24 16:30:00
241886029,18571126,3rd Weds. Networking Lunch Mixer at O'Charleys,2017-08-16 16:30:00
241730271,18571126,Lunch Mixer at O'Charley'­s on Thursday July 20,2017-07-20 16:30:00
240193613,18571126,Ladies Lunch Social at O'Charley'­s on Thursday June 1,2017-06-01 18:00:00
239944117,18571126,Cocktails & Networking at the Top May 17,2017-05-17 23:30:00
238479980,18571126,Ladies Lunch in Bellevue March 23 at 1 pm,2017-03-23 18:00:00
237736080,18571126,Ladies Lunch Feb. 16 at 1 pm,2017-02-16 19:00:00
234178292,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue,2016-10-19 23:00:00
234008415,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue Sept. 21,2016-09-21 23:00:00
233855117,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue,2016-09-07 23:00:00
233579762,18571126,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",2016-08-28 23:30:00
233579670,18571126,Happy Hour Wednesday at Hilton Garden Inn Aug. 24,2016-08-24 22:30:00
233476897,18571126,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",2016-08-21 23:30:00
233235249,18571126,Happy Hour Wednesday at Hilton Garden Inn Aug. 10,2016-08-10 22:30:00
232668583,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood July 20,2016-07-20 22:30:00
232642712,18571126,Entrepreneurship in the 21st Century,2016-07-16 22:00:00
232543768,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood July 13,2016-07-13 22:30:00
231460443,18571126,"Skincare Workshop at Lotus Blooming Yoga in Bellevue, Sun, June 19",2016-06-19 19:00:00
231912692,18571126,Happy Hour Tonight!,2016-06-15 22:30:00
231274089,18571126,Lunch Mixer Thursday May 26,2016-05-26 18:00:00
231104506,18571126,Tennessee Ren Fest Saturday May 21,2016-05-21 14:30:00
231090426,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood May 18,2016-05-18 22:30:00
230900387,18571126,Lunch Mixer Thursday May 12,2016-05-12 18:00:00
230972361,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood May 11,2016-05-11 22:30:00
230934372,18571126,Just for Fun: Tennessee Ren Fest Saturday May 7,2016-05-07 14:30:00
239499597,18821254,The Basics of cloud Computing,2017-06-28 15:00:00
239945716,18821254,Carnegie Writers/Green Hills Library,2017-06-24 20:00:00
236180427,18821254,Wired Senior Workshop,2017-01-19 00:00:00
233471167,18821254,Wired Senior Workshop,2016-10-27 23:00:00
233830558,18821254,"Consider ""storytelling by resume""?",2016-09-19 13:00:00
232878772,18821254,Work on your LinkedIn Profile,2016-08-08 12:00:00
231005223,18821254,"""iPhoneBasics""",2016-06-07 16:30:00
230056380,18821254,Journaling/Blogging/Podcasting CraftContent 2016,2016-04-09 14:00:00
227618948,18821254,Communicating in The 21st Century,2016-03-17 23:00:00
227618936,18821254,Communicating in The 21st Century,2016-03-01 16:00:00
227044616,18821254,Communicating in The 21st Century,2016-02-03 00:30:00
226349699,18821254,Talk about the five steps to create a successful podcast,2015-11-03 01:00:00
244446326,20586888,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",2017-10-25 22:30:00
244262821,20586888,"Happy Hour Wednesday, Brentwood, Oct. 18",2017-10-18 22:30:00
243988264,20586888,Wine Down Thursday in Brentwood,2017-10-12 23:30:00
