group_id,group_name,num_members,category_id,category_name,organizer_id,group_urlname
339011,Nashville Hiking Meetup,15838,23,Outdoors & Adventure,4353803,nashville-hiking
19728145,Stepping Out Social Dance Meetup,1778,5,Dancing,118484462,steppingoutsocialdance
6335372,Nashville soccer,2869,32,Sports & Recreation,108448302,Nashville-soccer
10016242,NashJS,1975,34,Tech,8111102,nashjs
21174496,20's & 30's Women looking for girlfriends,2782,31,Socializing,184580248,new-friends-in-Nashville
11077852,Sunday Assembly Nashville,918,28,Religion & Beliefs,4765912,Sunday-Assembly-Nashville
22197221,Team Green Adventures,1812,23,Outdoors & Adventure,199336381,TeamGreenAdventures
1585196,Tennessee Hiking Group,4828,23,Outdoors & Adventure,13537265,TennesseeHikingGroup
526316,¡Diablos Que Bailan! (Salsa Nashville),3472,5,Dancing,12229328,diablos-que-bailan
1763190,Nashville Tennis Meetup,1563,32,Sports & Recreation,9890725,Nashville-Tennis-Meetup
18243826,Middle TN 40+ singles,2583,30,Singles,198309808,MTN-40
11625832,PyNash,1442,34,Tech,215201845,PyNash
168014,The Nashville Writers Meetup,3286,36,Writing,1281684,nashvillewriters
19218850,Greater Nashville Healthcare Analytics,764,34,Tech,12825115,Greater-Nashville-Healthcare-Analytics
1526075,Nashville Area Gamer Association - NAGA,2730,11,Games,10764011,NAGACentral
1102353,Nashville Backpacker Meetup,3861,23,Outdoors & Adventure,7528310,NashvilleBackpacker
18955830,Eat Love Nash,5008,31,Socializing,13814459,EatLoveNash
18495240,Middle Tennessee Hiking Meetup,1576,23,Outdoors & Adventure,183268581,Middle-Tennessee-Hiking-Outdoor-Meetup
18562307,Nashville Young Professionals Meetup,3210,2,Career & Business,8736052,Nashville-Young-Professionals-Meetup
18589616,Agile Nashville User Group,862,34,Tech,126249582,Agile-Nashville-User-Group
18297014,Nashville Christian Singles,1683,23,Outdoors & Adventure,183268581,Nashville-Active-Christian-Singles
47094,The Greater Nashville RPG and Board Gamers Group,2375,11,Games,185299351,dnd-49
20181560,Tails of the Trail,1241,26,Pets & Animals,365419,Tails-of-the-Trail
19277993,Nashville DevOps Meetup,502,34,Tech,183378188,NashDevOps
7836842,Nashville UX,1318,34,Tech,21627131,nashville-ux
18616278,Franklin Developer Lunch & Learn,629,34,Tech,170855672,franklin-developer-lunch
16477792,Nashville .NET User Group,1371,34,Tech,16790301,Nashville-NET-User-Group
24803205,Brentwood Happy Hour / Dining Out Meetup,415,21,Music,92479482,Brentwood-Happy-Hour-Dining-Out-Meetup
14546632,Nashville Machine Learning Meetup,451,34,Tech,132473852,Nashville-Machine-Learning-Meetup
1371991,The Joy of Dining Out with Friends Meetup,2032,10,Food & Drink,13677114,Dining-With-Friends
16062152,Design Thinking Nashville,1026,34,Tech,158936252,DesignThinkingNashville
15297782,Nashville Product Meetup,560,34,Tech,86371752,Nashville-Product-Meetup
4126912,Nashville Online Entrepreneurs,1532,2,Career & Business,44942272,nashville-online
20807142,Music City Young Professionals,1388,31,Socializing,7377000,MusicCityYP
